post_id	post_text	user_id	username	image_id	timestamp	label
651118294447951872	#AntiTerror "#ArabianBlood" #RussianFederation in #Syria against #DAISH ["IS"]\n#RussianAviation #AirOperations in... http://t.co/DjLMYpTe3z	383409726	AlexArtAndros	airstrikes_1	Mon Oct 05 19:34:33 +0000 2015	fake
651115824065830912	#АнтиТеррор "#АрабскаяКровь" #РФ в #Сирии против #ДАИШ ["ИГ"]\n#ВоздушнаяОперация #РоссийскойАвиации в #САР... http://t.co/Ws48JXMGJ1	383409726	AlexArtAndros	airstrikes_1	Mon Oct 05 19:24:44 +0000 2015	fake
651095856662360065	Ну чё, сегодня надавали трендюлей игиловцам по полной.http://t.co/9214Lz5Awn..\nhttps://t.co/gvsdUZmaXa	2712309698	NataYaraya	airstrikes_1	Mon Oct 05 18:05:23 +0000 2015	fake
651086828234104832	Действия России в Сирии  безукоризненны. Видео авиаударов по объектам ИГИЛ http://t.co/KG4quIDoTF http://t.co/1dkfmxppJe	36905725	Alltecz	airstrikes_1	Mon Oct 05 17:29:31 +0000 2015	fake
651034616007106560	5-10-2015\nThe airstrike against an ISIS ammunition depot near Talbiseh settlement (Homs). A number of flashes... http://t.co/TBiUbdLd4U	1070959194	msojormsojor	airstrikes_1	Mon Oct 05 14:02:02 +0000 2015	fake
651021070842134528	DESTRUCTION COMPLÈTE D'UN ATELIER DE FABRICATION D'EXPLOSIFS ET DE MUNITIONS A HOMS http://t.co/qCbHcuSMqN	537211081	ToiJean	airstrikes_1	Mon Oct 05 13:08:13 +0000 2015	fake
651014113536020483	ロシア軍のシリア空爆。ホムス近郊で弾薬庫を撃破したと解説にあるけど、相変わらずイスラム国に打撃を与えたと言い張ってる（ホムス近郊には居ない）　https://t.co/NrEPIhLkgB	130053762	obiekt_JP	airstrikes_1	Mon Oct 05 12:40:34 +0000 2015	fake
651009053464915968	The airstrike against an @ISIS ammunition depot near Talbiseh settlement (Homs). https://t.co/ZfOvdVj6Hx	2204493906	D1GG3R_US	airstrikes_1	Mon Oct 05 12:20:28 +0000 2015	fake
650995498887872512	Тут САС вчера войну РФ объявила, а тут возле хомса их склад боеприпасов - был.\nhttps://t.co/fR1fCDw6n2	3775398329	redslavyanin	airstrikes_1	Mon Oct 05 11:26:36 +0000 2015	fake
650994479860686848	Russian defense ministry releases footage of renewed strikes in #Syria https://t.co/5j4cDUtebl	17543957	ytnewswire	airstrikes_1	Mon Oct 05 11:22:33 +0000 2015	fake
